ballx,bally,y1,y2,bouncenum,score1,score2
354, 254, 175, 175, 0, 0, 0
358, 258, 175, 175, 0, 0, 0
362, 262, 175, 175, 0, 0, 0
366, 266, 175, 175, 0, 0, 0
370, 270, 175, 175, 0, 0, 0
374, 274, 175, 175, 0, 0, 0
378, 278, 175, 175, 0, 0, 0
382, 282, 175, 175, 0, 0, 0
386, 286, 175, 175, 0, 0, 0
390, 290, 175, 175, 0, 0, 0
394, 294, 175, 175, 0, 0, 0
398, 298, 175, 175, 0, 0, 0
402, 302, 175, 175, 0, 0, 0
406, 306, 175, 175, 0, 0, 0
410, 310, 175, 175, 0, 0, 0
414, 314, 175, 175, 0, 0, 0
418, 318, 175, 175, 0, 0, 0
422, 322, 175, 175, 0, 0, 0
426, 326, 175, 175, 0, 0, 0
430, 330, 175, 175, 0, 0, 0
434, 334, 175, 175, 0, 0, 0
434, 334, 175, 175, 0, 0, 0
438, 338, 175, 185, 0, 0, 0
442, 342, 175, 195, 0, 0, 0
446, 346, 175, 205, 0, 0, 0
450, 350, 175, 215, 0, 0, 0
450, 350, 175, 215, 0, 0, 0
454, 354, 185, 225, 0, 0, 0
458, 358, 195, 235, 0, 0, 0
462, 362, 205, 245, 0, 0, 0
466, 366, 215, 255, 0, 0, 0
470, 370, 225, 265, 0, 0, 0
474, 374, 235, 275, 0, 0, 0
478, 378, 245, 285, 0, 0, 0
482, 382, 255, 295, 0, 0, 0
486, 386, 265, 305, 0, 0, 0
490, 390, 275, 315, 0, 0, 0
494, 394, 285, 325, 0, 0, 0
498, 398, 285, 335, 0, 0, 0
502, 402, 285, 345, 0, 0, 0
506, 406, 285, 350, 0, 0, 0
510, 410, 285, 350, 0, 0, 0
514, 414, 285, 350, 0, 0, 0
518, 418, 285, 350, 0, 0, 0
522, 422, 285, 350, 0, 0, 0
522, 422, 285, 350, 0, 0, 0
526, 426, 295, 350, 0, 0, 0
530, 430, 305, 350, 0, 0, 0
534, 434, 315, 350, 0, 0, 0
538, 438, 325, 350, 0, 0, 0
538, 438, 325, 350, 0, 0, 0
542, 442, 335, 350, 0, 0, 0
546, 446, 345, 350, 0, 0, 0
550, 450, 350, 350, 0, 0, 0
554, 454, 350, 350, 0, 0, 0
558, 458, 350, 350, 0, 0, 0
562, 462, 350, 350, 0, 0, 0
566, 466, 350, 350, 0, 0, 0
570, 470, 350, 350, 0, 0, 0
574, 474, 350, 350, 0, 0, 0
578, 478, 350, 350, 0, 0, 0
582, 474, 350, 350, 0, 0, 0
586, 470, 350, 350, 0, 0, 0
590, 466, 350, 350, 0, 0, 0
594, 462, 350, 350, 0, 0, 0
598, 458, 350, 350, 0, 0, 0
602, 454, 350, 350, 0, 0, 0
606, 450, 350, 350, 0, 0, 0
610, 446, 350, 350, 0, 0, 0
614, 442, 350, 350, 0, 0, 0
618, 438, 350, 350, 0, 0, 0
622, 434, 350, 350, 0, 0, 0
626, 430, 350, 350, 0, 0, 0
630, 426, 350, 350, 0, 0, 0
634, 422, 350, 350, 0, 0, 0
638, 418, 350, 350, 0, 0, 0
642, 414, 350, 350, 1, 0, 0
638, 410, 350, 350, 1, 0, 0
638, 410, 350, 350, 1, 0, 0
634, 406, 350, 340, 1, 0, 0
634, 406, 350, 340, 1, 0, 0
630, 402, 340, 330, 1, 0, 0
626, 398, 330, 320, 1, 0, 0
622, 394, 320, 310, 1, 0, 0
618, 390, 310, 300, 1, 0, 0
614, 386, 300, 290, 1, 0, 0
610, 382, 290, 280, 1, 0, 0
606, 378, 280, 270, 1, 0, 0
602, 374, 270, 260, 1, 0, 0
598, 370, 260, 250, 1, 0, 0
594, 366, 250, 240, 1, 0, 0
590, 362, 240, 230, 1, 0, 0
586, 358, 230, 220, 1, 0, 0
582, 354, 220, 210, 1, 0, 0
578, 350, 210, 200, 1, 0, 0
574, 346, 200, 190, 1, 0, 0
570, 342, 200, 190, 1, 0, 0
566, 338, 200, 190, 1, 0, 0
562, 334, 200, 190, 1, 0, 0
558, 330, 200, 190, 1, 0, 0
554, 326, 200, 190, 1, 0, 0
550, 322, 200, 190, 1, 0, 0
546, 318, 200, 190, 1, 0, 0
542, 314, 200, 190, 1, 0, 0
538, 310, 200, 190, 1, 0, 0
534, 306, 200, 190, 1, 0, 0
530, 302, 200, 190, 1, 0, 0
526, 298, 200, 190, 1, 0, 0
522, 294, 200, 190, 1, 0, 0
522, 294, 200, 190, 1, 0, 0
518, 290, 190, 190, 1, 0, 0
518, 290, 190, 190, 1, 0, 0
514, 286, 180, 180, 1, 0, 0
510, 282, 170, 170, 1, 0, 0
506, 278, 160, 160, 1, 0, 0
502, 274, 150, 150, 1, 0, 0
498, 270, 140, 140, 1, 0, 0
494, 266, 130, 130, 1, 0, 0
490, 262, 120, 120, 1, 0, 0
486, 258, 110, 110, 1, 0, 0
482, 254, 100, 100, 1, 0, 0
478, 250, 90, 90, 1, 0, 0
474, 246, 80, 80, 1, 0, 0
470, 242, 70, 70, 1, 0, 0
466, 238, 70, 60, 1, 0, 0
462, 234, 70, 60, 1, 0, 0
458, 230, 70, 60, 1, 0, 0
454, 226, 70, 60, 1, 0, 0
450, 222, 70, 60, 1, 0, 0
446, 218, 70, 60, 1, 0, 0
442, 214, 70, 60, 1, 0, 0
438, 210, 70, 60, 1, 0, 0
434, 206, 70, 60, 1, 0, 0
430, 202, 70, 60, 1, 0, 0
426, 198, 70, 60, 1, 0, 0
422, 194, 70, 60, 1, 0, 0
418, 190, 70, 60, 1, 0, 0
414, 186, 70, 60, 1, 0, 0
410, 182, 70, 60, 1, 0, 0
406, 178, 70, 60, 1, 0, 0
402, 174, 70, 60, 1, 0, 0
398, 170, 70, 60, 1, 0, 0
398, 170, 70, 60, 1, 0, 0
398, 170, 70, 60, 1, 0, 0
394, 166, 60, 50, 1, 0, 0
390, 162, 50, 40, 1, 0, 0
386, 158, 40, 30, 1, 0, 0
382, 154, 30, 20, 1, 0, 0
